,x,y,z_receiver
OA-01,1.5,-0.7,1.6
OA-02,1.5,-1.7,1.6
OA-03,2.5,-1.7,1.6
OA-04,3.5,-1.7,1.6
OA-05,4.5,-1.7,1.6
OA-06,6,-3.2,1.6
OA-07,6,-4.2,1.6
OA-08,6,-5.2,1.6
OA-09,6,-6.2,1.6
OA-10,7,-4.7,1.6
OA-11,3.5,-7.7,1.6
OA-12,2.5,-7.7,1.6
OA-13,1.5,-7.7,1.6
OA-14,2,-8.2,1.6
OA-15,7,-1.7,4.29
OA-16,9.5,-2.2,4.29
OA-17,8,-3.7,4.29
OA-18,8,-5.7,4.29
OA-19,9.5,-7.2,4.29
OA-20,7.5,-7.2,4.29
PA-01,1,-2.7,1.6
PA-02,2,-2.7,1.6
PA-03,3,-2.7,1.6
PA-04,4,-2.7,1.6
PA-05,5,-2.7,1.6
PA-06,5,-3.7,1.6
PA-07,4,-3.7,1.6
PA-08,3,-3.7,1.6
PA-09,2,-3.7,1.6
PA-10,1,-3.7,1.6
PA-11,1,-4.7,1.6
PA-12,2,-4.7,1.6
PA-13,3,-4.7,1.6
PA-14,4,-4.7,1.6
PA-15,5,-4.7,1.6
PA-16,5,-5.7,1.6
PA-17,4,-5.7,1.6
PA-18,3,-5.7,1.6
PA-19,2,-5.7,1.6
PA-20,1,-5.7,1.6
PA-21,1,-6.7,1.6
PA-22,2,-6.7,1.6
PA-23,3,-6.7,1.6
PA-24,4,-6.7,1.6
PA-25,5,-6.7,1.6
